idx_no,crop_name_en,crop_name_hi,crop_name_mr,disease_name_en,disease_name_hi,disease_name_mr,disease_type,severity_level,cause,question_en,question_hi,question_mr,remedy_en,remedy_hi,remedy_mr,season,affected_plant_part,indian_state(major)
964,rice,चावल ,तांदूळ ,Rice Tungro,राइस टुंग्रो वायरस,टुंग्रो विषाणू,Viral,Mild,Rice Tungro Bacilliform Virus and Rice Tungro Spherical Virus,Young leaves show slight yellowing in scattered plants,बिखरे हुए पौधों में नई पत्तियाँ हल्की पीली दिखाई देती हैं,कोवळी पाने विखुरलेल्या वनस्पतींमध्ये किंचित पिवळी दिसतात,Monitor leafhopper population and apply Imidacloprid early,लीफहॉपर की आबादी की निगरानी करें और इमिडाक्लोप्रिड का शीघ्र प्रयोग करें,लीफहॉपर लोकसंख्येचे निरीक्षण करा आणि इमिडाक्लोप्रिड लवकर लावा,Kharif,Young Leaves,Manipur
965,potato,आलू ,बटाटा ,Late Blight,पछेती झुलसा,उशिरा येणारा करपा,Fungal,Severe,Phytophthora infestans,Leaves start giving off a foul smell as the disease worsens,रोग बढ़ने पर पत्तियों से दुर्गंध आने लगती है,रोग वाढल्याने पानांना दुर्गंधी येऊ लागते,Apply Fenamidone plus Mancozeb WDG at 3 gram per liter,फेनामिडोन प्लस मैंकोजेब डब्ल्यूडीजी 3 ग्राम प्रति लीटर की दर से डालें,फेनामिडोन अधिक मॅन्कोझेब डब्ल्यूडीजी 3 ग्रॅम प्रति लिटर या प्रमाणात वापरा,Rabi,Stem,Gujarat
966,rice,चावल ,तांदूळ ,Sheath Rot,शीथ रोट,पर्णकोश कूज,Fungal,Severe,Sarocladium oryzae,Irregular brown lesions on upper sheath lead to panicle rot,ऊपरी आवरण पर अनियमित भूरे घावों के कारण पुष्पगुच्छ सड़ जाता है,वरच्या आवरणावरील अनियमित तपकिरी घाव पॅनिकल सडतात,Apply Propiconazole 25% EC at 1ml per liter water,प्रोपीकोनाज़ोल 25% ईसी 1 मिलीलीटर प्रति लीटर पानी में डालें,प्रोपिकोनाझोल 25% EC 1 मिली प्रति लिटर पाण्यात मिसळा,Kharif,Upper Sheath,Odisha
967,maize,मक्का,मक्का,Northern Corn Leaf Blight,उत्तरी मक्का पत्ती झुलसा,तुसावरील करपा,Fungal,Mild,Exserohilum turcicum,Large water-soaked patches spread across the leaf surface,पानी से लथपथ बड़े-बड़े धब्बे पत्ती की सतह पर फैल जाते हैं,पाण्याने भिजलेले मोठे ठिपके पानांच्या पृष्ठभागावर पसरलेले असतात,Use resistant hybrid varieties like DHM 117,डीएचएम 117 जैसी प्रतिरोधी संकर किस्मों का उपयोग करें,DHM 117 सारख्या प्रतिरोधक संकरित वाणांचा वापर करा,Monsoon,Lower Leaf,Punjab
968,groundnut,मूंगफली ,मूंगफली ,Peg Rot,पेग रोट,आर्या कूज,Fungal,Severe,Pythium myriotylum,Pod rot develops in soil due to Pythium infection in pegs,खूंटियों में पायथियम संक्रमण के कारण मिट्टी में फली सड़न विकसित हो जाती है,शेंगांमध्ये पायथियम संसर्गामुळे जमिनीत शेंगा कुजतात,Use raised beds to improve drainage and aeration at peg zone,खूंटी क्षेत्र में जल निकासी और वातन में सुधार के लिए ऊंचे बिस्तरों का उपयोग करें,पेग झोनमध्ये ड्रेनेज आणि वायुवीजन सुधारण्यासाठी उंच बेड वापरा,Monsoon,Pods,Tamil Nadu
969,cotton,कपास,कपाशी,Cotton Leaf Curl Virus,कपास का पत्ता मरोड़ रोग,चुरडा-मुरडा ,Viral,Severe,Cotton leaf curl Multan virus,"The midrib becomes thick and dark green, clearly visible on leaves","मध्यशिरा मोटी और गहरे हरे रंग की हो जाती है, जो पत्तियों पर स्पष्ट रूप से दिखाई देती है","मिड्रिब जाड आणि गडद हिरवा होतो, पानांवर स्पष्टपणे दृश्यमान होतो",Apply Thiamethoxam 25 WG at 0.2 gram per liter for vector control,रोगवाहक नियंत्रण के लिए थियामेथोक्साम 25 डब्लूजी 0.2 ग्राम प्रति लीटर की दर से प्रयोग करें,थायामेथोक्सम २५ डब्ल्यूजी ०.२ ग्रॅम प्रति लिटर या प्रमाणात वेक्टर नियंत्रणासाठी वापरावे,Summer,Bolls,Punjab
970,potato,आलू ,बटाटा ,Brown Rot,भूरा विगलन ,तपकिरी कुज ,Bacterial,Severe,Ralstonia solanacearum,Infected tubers show a brown ring near the outer skin,संक्रमित कंदों की बाहरी त्वचा के पास एक भूरे रंग का छल्ला दिखाई देता है,संक्रमित कंद बाहेरील त्वचेजवळ तपकिरी रिंग दाखवतात,Apply Streptomycin plus Copper combination spray on crop,फसल पर स्ट्रेप्टोमाइसिन प्लस कॉपर संयोजन स्प्रे लगाएं,पिकावर स्ट्रेप्टोमायसिन अधिक कॉपर कॉम्बिनेशन स्प्रे लावा,Summer,Vascular System,Karnataka
971,cotton,कपास,कपाशी,Pink Bollworm Blight,गुलाबी सुंडी झुलसा ,गुलाबी बोंड अळीचा प्रादुर्भाव,Fungal,Severe,Colletotrichum gossypii,Dark sunken spots appear on the surface of cotton bolls,कपास के बीजकोषों की सतह पर गहरे धंसे हुए धब्बे दिखाई देते हैं,कापसाच्या बोंडांच्या पृष्ठभागावर गडद बुडलेले ठिपके दिसतात,Pick and destroy infected bolls to reduce spread rate,प्रसार दर को कम करने के लिए संक्रमित बीजकोषों को चुनें और नष्ट कर दें,पसरण्याचे प्रमाण कमी करण्यासाठी संक्रमित बोंडे निवडा आणि नष्ट करा,Kharif,Bolls,Maharashtra
972,maize,मक्का,मक्का,Maize Streak Virus,मक्का स्ट्रीक वायरस,मका स्ट्रीक व्हायरस,Viral,Severe,Maize streak virus,Leaves show streaks giving them a striped appearance,पत्तियों पर धारियाँ दिखाई देती हैं जो उन्हें धारीदार रूप देती हैं,पानांवर पट्ट्या दिसतात,Spray dimethoate 30% EC at 2 ml per litre water,डाइमेथोएट 30% ईसी 2 मिली प्रति लीटर पानी में मिलाकर छिड़काव करें,डायमेथोएट 30% EC 2 मिली प्रति लिटर पाण्यात मिसळून फवारणी करावी,Rabi,Leaf,Kerala
973,Tomato,टमाटर,टोमॅटो ,Late Blight,पछेती झुलसा,उशिरा येणारा करपा,Fungal,Severe,Phytophthora infestans,White fungal growth appears on infected areas during humid mornings,आर्द्र सुबह के दौरान संक्रमित क्षेत्रों पर सफेद कवक की वृद्धि दिखाई देती है,पांढऱ्या बुरशीची वाढ प्रादुर्भावग्रस्त भागात दमट सकाळी दिसून येते,Apply copper oxychloride 50% WP spray preventively,रोकथाम के लिए कॉपर ऑक्सीक्लोराइड 50% WP स्प्रे लगाएं,तांबे ऑक्सिक्लोराईड 50% WP प्रतिबंधात्मक फवारणी करा,Rabi,Fruit,Assam
974,Wheat,गेहूँ,गेहूँ,Foot Rot,जड़ सड़न,मूळ कूज,Fungal,Severe,Fusarium culmorum,Plants can be easily uprooted due to rotten roots,जड़ सड़ने के कारण पौधे आसानी से उखड़ सकते हैं,कुजलेल्या मुळांमुळे झाडे सहज उपटली जाऊ शकतात,Use biocontrol Trichoderma harzianum for soil treatment,मृदा उपचार के लिए जैव नियंत्रण ट्राइकोडर्मा हार्ज़ियानम का प्रयोग करें,माती प्रक्रियेसाठी बायोकंट्रोल ट्रायकोडर्मा हर्झियानम वापरा,Winter,Crown,Bihar
975,sugarcane,गन्ना,ऊस ,Pokkah Boeng,पोक्का बोइंग,शेंडा कुजणे ,Fungal,Severe,Fusarium moniliforme,Young top leaves show yellow patches with irregular lesions,युवा शीर्ष पत्तियों पर अनियमित घावों के साथ पीले धब्बे दिखाई देते हैं,कोवळ्या वरच्या पानांवर अनियमित जखमांसह पिवळे ठिपके दिसतात,Use Propiconazole 25 EC at 1 ml per liter spray on tops,शीर्ष पर प्रोपीकोनाज़ोल 25 ईसी 1 मिलीलीटर प्रति लीटर स्प्रे का प्रयोग करें,प्रोपिकोनाझोल 25 ईसी 1 मिली प्रति लिटर या प्रमाणात फवारणी करा,Monsoon,Shoot Apex,Telangana
976,soyabean,सोयाबीन ,सोयाबीन ,Charcoal Rot,चारकोल रोट,कोळशी कूज ,Fungal,Low,Macrophomina phaseolina,Stem center turns grey with tiny black structures inside,तने का मध्य भाग भूरे रंग का हो जाता है और अंदर छोटी-छोटी काली संरचनाएँ हो जाती हैं,स्टेम सेंटर आतून लहान काळ्या रचनांसह राखाडी होते,Rotate with non-host crop like maize or sorghum rotation,मक्का या ज्वार जैसी गैर-मेज़बान फसल के साथ चक्रीकरण करें,नॉन-होस्ट पीक जसे की मका किंवा ज्वारी रोटेशनसह फिरवा,Kharif,Roots,Telangana
977,groundnut,मूंगफली ,मूंगफली ,Peg Rot,पेग रोट,आर्या कूज,Fungal,Severe,Pythium myriotylum,Brown water-soaked lesions again appear on pods at harvest,कटाई के समय फलियों पर भूरे पानी से लथपथ घाव फिर से दिखाई देते हैं,कापणीच्या वेळी शेंगांवर तपकिरी पाण्याने भिजलेले व्रण पुन्हा दिसतात,Apply Trichoderma harzianum soil treatment before sowing crop,फसल बोने से पहले ट्राइकोडर्मा हरजियानम मृदा उपचार करें,पीक पेरणीपूर्वी ट्रायकोडर्मा हार्जिअनम माती प्रक्रिया करा,Kharif,Seeds,Andhra Pradesh
978,maize,मक्का,मक्का,Bacterial Stalk Rot,जीवाणु तना सड़न,जिवाणूजन्य खोड कूज ,Bacterial,Severe,Erwinia chrysanthemi,A foul rotten smell comes from infected stem tissues,संक्रमित तने के ऊतकों से दुर्गंधयुक्त सड़ी हुई गंध आती है,संक्रमित स्टेम टिश्यूंमधून एक दुर्गंधी कुजलेला वास येतो,Apply bleaching powder in standing water in field,खेत में खड़े पानी में ब्लीचिंग पाउडर लगाएं,शेतात उभ्या पाण्यात ब्लीचिंग पावडर टाका,Monsoon,Stalk,Jharkhand
979,onion,प्याज ,कांदा ,Iris Yellow Spot Virus,आइरिस येलो स्पॉट वायरस ,स्टेमफिलियम करपा,Viral,Mild,Iris yellow spot virus,Elliptical pale yellow to tan spots appear on leaves,पत्तियों पर अण्डाकार हल्के पीले से भूरे रंग के धब्बे दिखाई देते हैं,पानांवर लंबवर्तुळाकार फिकट पिवळे ते टॅन डाग दिसतात,Use blue sticky traps to monitor and reduce thrips count,थ्रिप्स की संख्या पर निगरानी रखने और उसे कम करने के लिए नीले चिपचिपे जाल का उपयोग करें,थ्रीप्सच्या संख्येवर लक्ष ठेवण्यासाठी आणि कमी करण्यासाठी निळे चिकट सापळे वापरा,Rabi,Scape,Odisha
980,onion,प्याज ,कांदा ,Downy Mildew,डाउनी मिल्ड्यू,केवडा,Fungal,Severe,Peronospora destructor,Long pale lesions covered with downy spores appear on leaves,पत्तियों पर कोमल बीजाणुओं से ढके लंबे पीले घाव दिखाई देते हैं,डाऊनी बीजाणूंनी झाकलेले लांब फिकट विकृती पानांवर दिसतात,Apply Mancozeb 75 WP at 2.5 gram per liter foliar spray,मैंकोजेब 75 डब्लूपी 2.5 ग्राम प्रति लीटर की दर से पर्ण छिड़काव करें,मॅन्कोझेब 75 डब्ल्यूपी 2.5 ग्रॅम प्रति लिटर या प्रमाणात फवारणी करा,Rabi,Neck,Haryana
981,Tomato,टमाटर,टोमॅटो ,Late Blight,पछेती झुलसा,उशिरा येणारा करपा,Fungal,Severe,Phytophthora infestans,Entire plant collapses quickly in cool and wet conditions,पूरा पौधा ठंडी और गीली परिस्थितियों में जल्दी ही नष्ट हो जाता है,थंड आणि ओल्या परिस्थितीत संपूर्ण वनस्पती लवकर कोसळते,Spray fosetyl-Al 80% WP at 2.5 g per litre water,फोसेटाइल-अल 80% WP 2.5 ग्राम प्रति लीटर पानी में मिलाकर छिड़काव करें,फोसेटाइल-अल 80% डब्ल्यूपी 2.5 ग्रॅम प्रति लिटर पाण्यात फवारणी करा,Rabi,Leaf,Assam
982,onion,प्याज ,कांदा ,White Rot,सफेद सड़न,पांढरी कूज,Fungal,Low,Sclerotium cepivorum,Roots rot completely causing plant collapse due to basal white rot,"जड़ें पूरी तरह से सड़ जाती हैं, जिससे बेसल सफेद सड़न के कारण पौधा नष्ट हो जाता है",बेसल व्हाईट रॉटमुळे मुळे पूर्णपणे कुजतात आणि झाडे कोलमडतात,Use Brassica green manure crop to suppress sclerotia in soil,मिट्टी में स्क्लेरोटिया को दबाने के लिए ब्रैसिका हरी खाद का उपयोग करें,मातीतील स्क्लेरोटीया दाबण्यासाठी ब्रासिका हिरवळीचे खत वापरा,Winter,Basal Plate,Karnataka
983,rice,चावल ,तांदूळ ,Rice Blast,धान का झोंका रोग,करपा ,Fungal,Severe,Magnaporthe oryzae,Nodes turn black and plants break down at those points,गांठें काली पड़ जाती हैं और पौधे उन बिंदुओं पर टूट जाते हैं,नोड्स काळे होतात आणि त्या ठिकाणी झाडे तुटतात,Apply Propiconazole 25% EC at 1ml per liter,प्रोपीकोनाज़ोल 25% ईसी 1 मिली प्रति लीटर की दर से डालें,प्रोपिकोनाझोल 25% EC 1ml प्रति लिटर या प्रमाणात मिसळा,Kharif,Nodes,Assam
984,groundnut,मूंगफली ,मूंगफली ,Aflatoxin Crown Rot,क्राउन रोट ,क्राउन रोट,Fungal,Low,Aspergillus flavus,Seeds infected with aflatoxin show no external symptoms,एफ्लाटॉक्सिन से संक्रमित बीजों में कोई बाहरी लक्षण नहीं दिखते,अफलाटॉक्सिनची लागण झालेल्या बियांमध्ये बाह्य लक्षणे दिसत नाहीत,Use resistant variety ICGV 89104 for aflatoxin prone areas,एफ्लाटॉक्सिन प्रवण क्षेत्रों के लिए प्रतिरोधी किस्म आईसीजीवी 89104 का उपयोग करें,अफलाटॉक्सिन प्रवण क्षेत्रासाठी प्रतिरोधक जाती ICGV 89104 वापरा,Summer,Crown,Maharashtra
985,banana,केला,केळी,Panama Disease,पनामा रोग,पनामा मर रोग ,Fungal,Mild,Fusarium oxysporum f.sp. cubense,Corm vascular tissue turns brown internally,कॉर्म संवहनी ऊतक आंतरिक रूप से भूरे रंग का हो जाता है,कॉर्म व्हॅस्कुलर टिश्यू आतून तपकिरी होतात,Drench soil with copper oxychloride at 3 g per litre,मिट्टी को 3 ग्राम प्रति लीटर कॉपर ऑक्सीक्लोराइड से गीला करें,कॉपर ऑक्सिक्लोराईड 3 ग्रॅम प्रति लिटर या प्रमाणात माती भिजवा,Summer,Whole Plant,Kerala
986,Tomato,टमाटर,टोमॅटो ,Bacterial Wilt,जीवाणु ग्लानि,जिवाणूजन्य मर,Bacterial,Severe,Ralstonia solanacearum,"In advanced stages, infected roots emit a strong foul smell","उन्नत अवस्था में, संक्रमित जड़ें तेज दुर्गंध छोड़ती हैं","प्रगत अवस्थेत, संक्रमित मुळे तीव्र दुर्गंधी उत्सर्जित करतात",Disinfect all farm tools with 1% hypochlorite solution,सभी कृषि उपकरणों को 1% हाइपोक्लोराइट घोल से कीटाणुरहित करें,1% हायपोक्लोराईट द्रावणाने सर्व शेती उपकरणे निर्जंतुक करा,Summer,Stem,Assam
987,cotton,कपास,कपाशी,Anthracnose,एन्थ्रेक्नोज,कवड्या ,Fungal,Severe,Colletotrichum capsici,Pink spore masses appear in lesion centers during wet weather,गीले मौसम के दौरान घाव केंद्रों में गुलाबी बीजाणु समूह दिखाई देते हैं,गुलाबी बीजाणू ओले हवामानात घाव केंद्रांमध्ये दिसतात,Treat seed with Thiram plus Carbendazim combination mix,बीज को थीरम प्लस कार्बेन्डाजिम संयोजन मिश्रण से उपचारित करें,थिरम अधिक कार्बेन्डाझिमच्या मिश्रणाने बीजप्रक्रिया करा,Kharif,Stem,Maharashtra
988,groundnut,मूंगफली ,मूंगफली ,Rust,गेरूआ,तांबेरा,Fungal,Low,Puccinia arachidis,Heavily infected leaves turn yellow and fall early,अत्यधिक संक्रमित पत्तियां पीली पड़ जाती हैं और जल्दी गिर जाती हैं,जास्त प्रादुर्भाव झालेली पाने पिवळी पडतात आणि लवकर पडतात,Use Propiconazole 25 EC at 1 ml per liter spray water,प्रोपीकोनाज़ोल 25 ईसी 1 मिलीलीटर प्रति लीटर पानी में छिड़काव करें,प्रोपिकोनाझोल 25 ईसी 1 मिली प्रति लिटर पाण्यात मिसळून फवारणी करावी,Monsoon,Leaves,Uttar Pradesh
989,Wheat,गेहूँ,गेहूँ,Bacterial Leaf Streak,जीवाणु पत्ती धारी ,जिवाणूजन्य पानावरील पट्टे ,Bacterial,Severe,Xanthomonas translucens,Lesions begin at the leaf tip and move downward,घाव पत्ती की नोक से शुरू होते हैं और नीचे की ओर बढ़ते हैं,जखम पानाच्या टोकापासून सुरू होतात आणि खालच्या दिशेने जातात,Apply Bordeaux mixture 1% spray at early infection sign,संक्रमण के शुरुआती संकेत पर बोर्डो मिश्रण 1% स्प्रे लगाएं,संसर्गाच्या सुरुवातीच्या चिन्हावर बोर्डो मिश्रण 1% स्प्रे लावा,Spring,Leaf Sheath,Haryana
990,cotton,कपास,कपाशी,Alternaria Leaf Spot,अल्टरनेरिया पत्ती धब्बा,अल्टरनेरिया पानांवरील ठिपके,Fungal,Severe,Alternaria macrospora,Dark brown spots are surrounded by a yellow halo,गहरे भूरे धब्बे पीले प्रभामंडल से घिरे होते हैं,गडद तपकिरी डाग पिवळ्या प्रभामंडलाने वेढलेले असतात,Spray Trifloxystrobin 25 WG at 0.5 gram per liter water,ट्राइफ्लोक्सीस्ट्रोबिन 25 डब्ल्यूजी 0.5 ग्राम प्रति लीटर पानी में घोलकर छिड़काव करें,ट्रायफ्लॉक्सिस्ट्रोबिन २५ डब्ल्यूजी ०.५ ग्रॅम प्रति लिटर पाण्यात फवारावे,Kharif,Petioles,Odisha
991,groundnut,मूंगफली ,मूंगफली ,Peg Rot,पेग रोट,आर्या कूज,Fungal,Severe,Pythium myriotylum,"Infected pods feel soft, water-soaked, and light brown","संक्रमित फलियाँ नरम, पानी से लथपथ और हल्के भूरे रंग की लगती हैं","संक्रमित शेंगा मऊ, पाण्यात भिजलेल्या आणि हलक्या तपकिरी वाटतात",Use Cymoxanil plus Mancozeb combination spray at pegging,पेगिंग के समय सिमोक्सानिल प्लस मैनकोज़ेब संयोजन स्प्रे का उपयोग करें,पेगिंग करताना सायमोक्सॅनिल प्लस मॅन्कोझेब या मिश्रणाचा वापर करा,Monsoon,Pods,Rajasthan
992,maize,मक्का,मक्का,Fusarium Ear Rot,फ्यूसेरियम भुट्टा सड़न ,कणिस कूज ,Fungal,Mild,Fusarium verticillioides,Kernels develop cracks with pink discoloration inside,गुठलियों में दरारें पड़ जाती हैं और अंदर का रंग गुलाबी हो जाता है,कर्नल आतून गुलाबी रंगाच्या विकृतीसह क्रॅक विकसित करतात,Dry grain below 13% moisture before storing safely,सुरक्षित भंडारण से पहले अनाज को 13% नमी से कम पर सुखाएं,सुरक्षितपणे साठवण्यापूर्वी 13% आर्द्रतेपेक्षा कमी कोरडे धान्य,Rabi,Ear,Haryana
993,Tomato,टमाटर,टोमॅटो ,Tomato Mosaic Virus,टमाटर मोजेक वायरस,टोमॅटो मोझॅक व्हायरस,Viral,Severe,Tomato mosaic virus,The plant appears pale overall and yields poor quality fruits,पौधा कुल मिलाकर पीला दिखाई देता है और खराब गुणवत्ता वाले फल देता है,वनस्पती एकंदरीत फिकट गुलाबी दिसते आणि निकृष्ट दर्जाची फळे देते,Disinfect pruning and grafting tools with bleach solution,प्रूनिंग और ग्राफ्टिंग उपकरणों को ब्लीच घोल से कीटाणुरहित करें,ब्लीच सोल्यूशनसह छाटणी आणि ग्राफ्टिंग साधने निर्जंतुक करा,Rabi,Fruit,Uttar Pradesh
994,Tomato,टमाटर,टोमॅटो ,Tomato Leaf Curl Virus,मरोड़िया ,टोमॅटोवरील पर्णगुच्छ ,Viral,Severe,Tomato leaf curl virus,Leaf veins turn yellow in infected plants,संक्रमित पौधों में पत्ती की नसें पीली हो जाती हैं,संक्रमित झाडांमध्ये पानांच्या शिरा पिवळ्या होतात,Spray imidacloprid 17.8% SL at 0.5 ml per litre to kill whitefly,सफेद मक्खी को मारने के लिए इमिडाक्लोप्रिड 17.8% एसएल 0.5 मिली प्रति लीटर की दर से छिड़काव करें,पांढरी माशी मारण्यासाठी इमिडाक्लोप्रिड १७.८% एसएल ०.५ मिली प्रति लिटर या प्रमाणात फवारावे.,Summer,Leaf,Gujarat
995,potato,आलू ,बटाटा ,Late Blight,पछेती झुलसा,उशिरा येणारा करपा,Fungal,Low,Phytophthora infestans,Dark brown water-soaked lesions develop along leaf edges,पत्तियों के किनारों पर गहरे भूरे रंग के पानी से लथपथ घाव विकसित हो जाते हैं,गडद तपकिरी पाण्याने भिजलेले घाव पानांच्या काठावर विकसित होतात,Use Propamocarb hydrochloride at 3 ml per liter spray,प्रोपामोकार्ब हाइड्रोक्लोराइड 3 मिली प्रति लीटर स्प्रे का प्रयोग करें,प्रोपामोकार्ब हायड्रोक्लोराईड 3 मिली प्रति लिटर या प्रमाणात फवारणी करावी,Winter,Tubers,Jammu and Kashmir
996,maize,मक्का,मक्का,Fusarium Ear Rot,फ्यूसेरियम भुट्टा सड़न ,कणिस कूज ,Fungal,Severe,Fusarium verticillioides,Entire cob surface becomes pinkish-white in wet conditions,गीली परिस्थितियों में भुट्टे की पूरी सतह गुलाबी-सफेद हो जाती है,ओल्या स्थितीत संपूर्ण कोब पृष्ठभाग गुलाबी-पांढरा होतो,Control insect damage to ears which invites fungus,कानों में कीट क्षति को नियंत्रित करें जो कवक को आमंत्रित करते हैं,बुरशीला आमंत्रण देणाऱ्या कीटकांच्या कानाला होणारे नुकसान नियंत्रित करा,Kharif,Ear,Haryana
997,cotton,कपास,कपाशी,Grey Mildew,धूसर फफूंदी,दहिया रोग,Fungal,Low,Ramularia areola,Angular pale green to yellow spots appear again on leaf surface,पत्ती की सतह पर कोणीय हल्के हरे से पीले रंग के धब्बे फिर से दिखाई देते हैं,कोनीय फिकट हिरवे ते पिवळे ठिपके पानाच्या पृष्ठभागावर पुन्हा दिसतात,Apply Propiconazole 25 EC at 0.05% foliar spray dose,प्रोपीकोनाज़ोल 25 ईसी को 0.05% पर्ण स्प्रे खुराक पर लागू करें,प्रोपिकोनाझोल 25 EC 0.05% पर्णासंबंधी फवारणीच्या डोसमध्ये वापरा,Monsoon,Petioles,Haryana
998,maize,मक्का,मक्का,Gray Leaf Spot,धूसर पत्ती धब्बा ,करपा,Fungal,Mild,Cercospora zeae-maydis,Upper leaves tend to get affected more as the infection reaches later stages,"जैसे-जैसे संक्रमण बाद की अवस्था में पहुंचता है, ऊपरी पत्तियाँ अधिक प्रभावित होती हैं",संक्रमण नंतरच्या टप्प्यात पोहोचल्यामुळे वरच्या पानांवर जास्त परिणाम होतो,Apply propiconazole 25% EC at 0.1% solution spray,0.1% घोल स्प्रे पर प्रोपिकोनाज़ोल 25% ईसी लगाएं,प्रोपिकोनाझोल 25% EC 0.1% द्रावण फवारणीवर टाका,Rabi,Leaf,Uttarakhand
999,cotton,कपास,कपाशी,Grey Mildew,धूसर फफूंदी,दहिया रोग,Fungal,Severe,Ramularia areola,Grey-white spore clusters can be seen on the underside of leaves,पत्तियों के नीचे की ओर भूरे-सफ़ेद बीजाणु समूह देखे जा सकते हैं,राखाडी-पांढरे बीजाणू पानांच्या खालच्या बाजूला दिसू शकतात,Improve air circulation by proper row spacing in field,खेत में उचित पंक्ति रिक्ति द्वारा वायु परिसंचरण में सुधार करें,शेतात योग्य पंक्ती अंतर ठेवून हवेचा प्रवाह सुधारा,Monsoon,Leaves,Andhra Pradesh
1000,Wheat,गेहूँ,गेहूँ,Bacterial Leaf Streak,जीवाणु पत्ती धारी ,जिवाणूजन्य पानावरील पट्टे ,Bacterial,Low,Xanthomonas translucens,The whole leaf blade turns brown and dries up earlier than normal,पूरी पत्ती का ब्लेड भूरा हो जाता है और सामान्य से पहले सूख जाता है,संपूर्ण पानाची पट्टी तपकिरी होते आणि सामान्यपेक्षा लवकर सुकते,Use Streptomycin sulfate spray at 500 ppm concentration,500 पीपीएम सांद्रता पर स्ट्रेप्टोमाइसिन सल्फेट स्प्रे का उपयोग करें,स्ट्रेप्टोमायसिन सल्फेट स्प्रे 500 पीपीएम एकाग्रतेवर वापरा,Rabi,Leaf Blade,Himachal Pradesh
1001,banana,केला,केळी,Moko Disease,मोको रोग,मोको रोग ,Bacterial,Severe,Ralstonia solanacearum,Brown bacterial ooze comes out when the stem is cut open,तने को काटने पर भूरे रंग का जीवाणु स्राव निकलता है,स्टेम कापल्यावर तपकिरी जिवाणू बाहेर पडतात,Apply copper oxychloride 50% WP at 3 g per litre,कॉपर ऑक्सीक्लोराइड 50% WP 3 ग्राम प्रति लीटर की दर से डालें,तांबे ऑक्सिक्लोराईड 50% WP 3 ग्रॅम प्रति लिटर या प्रमाणात मिसळा,Monsoon,Root,Goa
1002,Wheat,गेहूँ,गेहूँ,Foot Rot,जड़ सड़न,मूळ कूज,Fungal,Severe,Fusarium culmorum,Lesions at the base of the stem gradually move upward with disease progression,रोग बढ़ने पर तने के आधार पर घाव धीरे-धीरे ऊपर की ओर बढ़ते हैं,स्टेमच्या पायथ्यावरील जखम हळूहळू रोगाच्या वाढीसह वरच्या दिशेने जातात,Use biocontrol Trichoderma harzianum for soil treatment,मृदा उपचार के लिए जैव नियंत्रण ट्राइकोडर्मा हार्ज़ियानम का प्रयोग करें,माती प्रक्रियेसाठी बायोकंट्रोल ट्रायकोडर्मा हर्झियानम वापरा,Rabi,Stem Base,Rajasthan
1003,Tomato,टमाटर,टोमॅटो ,Late Blight,पछेती झुलसा,उशिरा येणारा करपा,Fungal,Severe,Phytophthora infestans,Infected plants give off a bad smell especially in wet conditions,संक्रमित पौधे विशेष रूप से गीली परिस्थितियों में बुरी गंध छोड़ते हैं,संक्रमित झाडे विशेषत: ओल्या स्थितीत वाईट वास देतात,Apply copper oxychloride 50% WP spray preventively,रोकथाम के लिए कॉपर ऑक्सीक्लोराइड 50% WP स्प्रे लगाएं,तांबे ऑक्सिक्लोराईड 50% WP प्रतिबंधात्मक फवारणी करा,Winter,Stem,Uttarakhand
1004,onion,प्याज ,कांदा ,Purple Blotch,बैंगनी धब्बा,जांभळा करपा ,Fungal,Low,Alternaria porri,Leaf lesions grow quickly and encircle the entire leaf blade,पत्ती के घाव तेजी से बढ़ते हैं और पूरी पत्ती की पत्ती को घेर लेते हैं,पानावरील जखम लवकर वाढतात आणि संपूर्ण पानाच्या ब्लेडला घेरतात,Apply Iprodione 50 WP at 1.5 gram per liter foliar spray,Iprodione 50 WP 1.5 ग्राम प्रति लीटर की दर से पर्णीय छिड़काव करें,आयप्रोडिओन 50 डब्ल्यूपी 1.5 ग्रॅम प्रति लिटर पर्णासंबंधी फवारणी करा,Rabi,Leaves,Karnataka
1005,groundnut,मूंगफली ,मूंगफली ,Bud Necrosis Disease,कली ऊतकक्षय रोग,शेंडा मर,Viral,Low,Groundnut bud necrosis virus,Dead ring-like patterns along with mosaic symptoms appear on leaves,मोज़ेक लक्षणों के साथ मृत वलय जैसे पैटर्न पत्तियों पर दिखाई देते हैं,पानांवर मोज़ेक लक्षणांसह मृत रिंगसारखे नमुने दिसतात,Control thrips vector with Imidacloprid 17.8 SL spray early,इमिडाक्लोप्रिड 17.8 एसएल स्प्रे से थ्रिप्स वेक्टर को जल्दी नियंत्रित करें,इमिडाक्लोप्रिड १७.८ एसएल फवारणीने थ्रिप्स वेक्टर लवकर नियंत्रित करा,Kharif,Stem,Odisha
